"shapeid"|"GEOCODIGO"|"NOME"|"AREA_TOT_G"|"Sigla"|"PntsInPoly"|"RN"
"0"|"11"|"RONDÔNIA"|"237576.167"|"RO"|"0"|"NULL"
"1"|"12"|"ACRE"|"152581.388"|"AC"|"0"|"NULL"
"2"|"13"|"AMAZONAS"|"1570745.68"|"AM"|"0"|"NULL"
"3"|"14"|"RORAIMA"|"224298.98"|"RR"|"0"|"NULL"
"4"|"16"|"AMAPÁ"|"142814.585"|"AP"|"0"|"NULL"
"5"|"17"|"TOCANTINS"|"277620.914"|"TO"|"0"|"NULL"
"6"|"22"|"PIAUÍ"|"251529.194"|"PI"|"181"|"NULL"
"7"|"23"|"CEARÁ"|"148825.602"|"CE"|"655"|"NULL"
"8"|"24"|"RIO GRANDE DO NORTE"|"52796.802"|"RN"|"1342"|"NULL"
"9.0"|"25"|"PARAÍBA"|"56439.838"|"PB"|"1066"|"NULL"
"9.1"|"25"|"PARAÍBA"|"56439.838"|"PB"|"1066"|"NULL"
"10"|"27"|"ALAGOAS"|"27767.655"|"AL"|"209"|"NULL"
"11"|"28"|"SERGIPE"|"21910.348"|"SE"|"210"|"NULL"
"12"|"29"|"BAHIA"|"564692.658"|"BA"|"1176"|"NULL"
"13"|"31"|"MINAS GERAIS"|"586528.293"|"MG"|"0"|"NULL"
"14"|"41"|"PARANÁ"|"199314.85"|"PR"|"0"|"NULL"
"15"|"43"|"RIO GRANDE DO SUL"|"281748.155"|"RS"|"0"|"NULL"
"16"|"50"|"MATO GROSSO DO SUL"|"357124.962"|"MS"|"0"|"NULL"
"17"|"51"|"MATO GROSSO"|"903357.715"|"MT"|"0"|"NULL"
"18"|"52"|"GOIÁS"|"340086.703"|"GO"|"0"|"NULL"
"19"|"53"|"DISTRITO FEDERAL"|"5801.937"|"DF"|"0"|"NULL"
"20.0"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.1"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.2"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.3"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.4"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.5"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.6"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.7"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.8"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.9"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.10"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.11"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.12"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.13"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"20.14"|"15"|"PARÁ"|"1247689.515"|"PA"|"0"|"NULL"
"21.0"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.1"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.2"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.3"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.4"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.5"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.6"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.7"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.8"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.9"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.10"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.11"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.12"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.13"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.14"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.15"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.16"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.17"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.18"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.19"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.20"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.21"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.22"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.23"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.24"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.25"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.26"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.27"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.28"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.29"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.30"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.31"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.32"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.33"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.34"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.35"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.36"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.37"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.38"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.39"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.40"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.41"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.42"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.43"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.44"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.45"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.46"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.47"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.48"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.49"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.50"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.51"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.52"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.53"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.54"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
"21.55"|"21"|"MARANHÃO"|"331983.293"|"MA"|"0"|"NULL"
