"shapeid"|"COD_IBGE"|"COD_UFMESO"|"NOME_MESO"|"COD_UFMICR"|"NOME_MICRO"|"COD_UF"|"NOME_UF"|"NOME_MUNI"|"UF"|"ident"|"Area"
"0"|"4305439"|"4307"|"SUDESTE RIO-GRANDENSE"|"43035"|"LITORAL LAGUNAR"|"43"|"RIO GRANDE DO SUL"|"Chuí"|"RS"|"NULL"|"20640.6876629"
"1"|"4309571"|"4304"|"CENTRO ORIENTAL RIO-GRAND"|"43020"|"SANTA CRUZ DO SUL"|"43"|"RIO GRANDE DO SUL"|"Herveiras"|"RS"|"NULL"|"11938.1788887"
"2"|"3157609"|"3102"|"NORTE DE MINAS"|"31006"|"PIRAPORA"|"31"|"MINAS GERAIS"|"Santa Fé de Minas"|"MG"|"NULL"|"291520.337416"
"3"|"2906907"|"2907"|"SUL BAIANO"|"29032"|"PORTO SEGURO"|"29"|"BAHIA"|"Caravelas"|"BA"|"NULL"|"237792.388931"
"4"|"2301901"|"2307"|"SUL CEARENSE"|"23032"|"CARIRI"|"23"|"CEARÁ"|"Barbalha"|"CE"|"NULL"|"48327.1060787"
"5"|"1100015"|"1102"|"LESTE RONDONIENSE"|"11006"|"CACOAL"|"11"|"RONDÔNIA"|"Alta Floresta do Oeste"|"RO"|"NULL"|"771498.073636"
"6"|"4309605"|"4301"|"NOROESTE RIO-GRANDENSE"|"43002"|"TRES PASSOS"|"43"|"RIO GRANDE DO SUL"|"Horizontina"|"RS"|"NULL"|"23365.5424217"
"7"|"3550803"|"3507"|"CAMPINAS"|"35030"|"SAO JOAO DA BOA VISTA"|"35"|"SÃO PAULO"|"São Sebastião da Grama"|"SP"|"NULL"|"25200.0182517"
"8"|"3157658"|"3104"|"VALE DO MUCURI"|"31016"|"NANUQUE"|"31"|"MINAS GERAIS"|"Santa Helena de Minas"|"MG"|"NULL"|"27783.4994695"
"9"|"2301950"|"2302"|"NORTE CEARENSE"|"23014"|"CHOROZINHO"|"23"|"CEARÁ"|"Barreira"|"CE"|"NULL"|"24931.3791366"
"10"|"2907004"|"2904"|"NORDESTE BAIANO"|"29018"|"ENTRE RIOS"|"29"|"BAHIA"|"Cardeal da Silva"|"BA"|"NULL"|"19758.7714995"
"11"|"1100023"|"1102"|"LESTE RONDONIENSE"|"11003"|"ARIQUEMES"|"11"|"RONDÔNIA"|"Ariquemes"|"RO"|"NULL"|"487642.294279"
"12"|"4309654"|"4306"|"SUDOESTE RIO-GRANDENSE"|"43031"|"CAMPANHA MERIDIONAL"|"43"|"RIO GRANDE DO SUL"|"Hulha Negra"|"RS"|"NULL"|"83504.5903482"
"13"|"3550902"|"3502"|"RIBEIRAO PRETO"|"35014"|"RIBEIRAO PRETO"|"35"|"SÃO PAULO"|"São Simão"|"SP"|"NULL"|"61770.9267609"
"14"|"3157708"|"3105"|"TRIANGULO MINEIRO/ALTO PA"|"31023"|"ARAXA"|"31"|"MINAS GERAIS"|"Santa Juliana"|"MG"|"NULL"|"72781.961686"
"15"|"2907103"|"2902"|"VALE SAO-FRANCISCANO DA B"|"29007"|"BOM JESUS DA LAPA"|"29"|"BAHIA"|"Carinhanha"|"BA"|"NULL"|"274843.902489"
"16"|"2302008"|"2307"|"SUL CEARENSE"|"23031"|"BARRO"|"23"|"CEARÁ"|"Barro"|"CE"|"NULL"|"71864.2678624"
"17"|"1100031"|"1102"|"LESTE RONDONIENSE"|"11008"|"COLORADO DO OESTE"|"11"|"RONDÔNIA"|"Cabixi"|"RO"|"NULL"|"141027.968189"
"18"|"4309704"|"4301"|"NOROESTE RIO-GRANDENSE"|"43002"|"TRES PASSOS"|"43"|"RIO GRANDE DO SUL"|"Humaita"|"RS"|"NULL"|"13801.2029753"
"19"|"3551009"|"3515"|"METROPOLITANA DE SAO PAUL"|"35063"|"SANTOS"|"35"|"SÃO PAULO"|"São Viçente"|"SP"|"NULL"|"14798.4055261"
"20"|"3157807"|"3107"|"METROPOLITANA DE BELO HOR"|"31030"|"BELO HORIZONTE"|"31"|"MINAS GERAIS"|"Santa Luzia"|"MG"|"NULL"|"23353.4074261"
"21"|"2907202"|"2902"|"VALE SAO-FRANCISCANO DA B"|"29004"|"JUAZEIRO"|"29"|"BAHIA"|"Casa Nova"|"BA"|"NULL"|"968984.868773"
"22"|"2302057"|"2301"|"NOROESTE CEARENSE"|"23001"|"LITORAL DE CAMOCIM E ACARAU"|"23"|"CEARÁ"|"Barroquinha"|"CE"|"NULL"|"38552.4870956"
"23"|"1100049"|"1102"|"LESTE RONDONIENSE"|"11006"|"CACOAL"|"11"|"RONDÔNIA"|"Cacoal"|"RO"|"NULL"|"410138.795796"
"24"|"4309753"|"4304"|"CENTRO ORIENTAL RIO-GRAND"|"43020"|"SANTA CRUZ DO SUL"|"43"|"RIO GRANDE DO SUL"|"Ibarama"|"RS"|"NULL"|"19559.6493876"
"25"|"3551108"|"3512"|"MACRO METROPOLITANA PAULI"|"35046"|"SOROCABA"|"35"|"SÃO PAULO"|"Sarapuí"|"SP"|"NULL"|"35414.2935005"
"26"|"3157906"|"3112"|"ZONA DA MATA"|"31061"|"MANHUACU"|"31"|"MINAS GERAIS"|"Santa Margarida"|"MG"|"NULL"|"25655.1579649"
"27"|"2907301"|"2905"|"METROPOLITANA DE SALVADOR"|"29020"|"SANTO ANTONIO DE JESUS"|"29"|"BAHIA"|"Castro Alves"|"BA"|"NULL"|"76875.3777765"
"28"|"2302107"|"2302"|"NORTE CEARENSE"|"23013"|"BATURITE"|"23"|"CEARÁ"|"Baturité"|"CE"|"NULL"|"31275.7518046"
"29"|"1100056"|"1102"|"LESTE RONDONIENSE"|"11008"|"COLORADO DO OESTE"|"11"|"RONDÔNIA"|"Cerejeiras"|"RO"|"NULL"|"300578.018038"
"30"|"4309803"|"4301"|"NOROESTE RIO-GRANDENSE"|"43005"|"SANANDUVA"|"43"|"RIO GRANDE DO SUL"|"Ibiaçá"|"RS"|"NULL"|"35459.224115"
"31"|"3551207"|"3510"|"ASSIS"|"35040"|"OURINHOS"|"35"|"SÃO PAULO"|"Sarutaiá"|"SP"|"NULL"|"14141.2365291"
"32"|"2907400"|"2901"|"EXTREMO OESTE BAIANO"|"29001"|"BARREIRAS"|"29"|"BAHIA"|"Catolândia"|"BA"|"NULL"|"65898.8885474"
"33"|"3158003"|"3107"|"METROPOLITANA DE BELO HOR"|"31031"|"ITABIRA"|"31"|"MINAS GERAIS"|"Santa Maria de Itabira"|"MG"|"NULL"|"50940.8225538"
"34"|"2302206"|"2302"|"NORTE CEARENSE"|"23015"|"CASCAVEL"|"23"|"CEARÁ"|"Beberibe"|"CE"|"NULL"|"163880.961565"
"35"|"1100064"|"1102"|"LESTE RONDONIENSE"|"11008"|"COLORADO DO OESTE"|"11"|"RONDÔNIA"|"Colorado do Oeste"|"RO"|"NULL"|"155570.053626"
"36"|"4309902"|"4301"|"NOROESTE RIO-GRANDENSE"|"43010"|"PASSO FUNDO"|"43"|"RIO GRANDE DO SUL"|"Ibiraiaras"|"RS"|"NULL"|"30438.3224669"
"37"|"3551306"|"3501"|"SAO JOSE DO RIO PRETO"|"35007"|"NHANDEARA"|"35"|"SÃO PAULO"|"Sebastianópolis do Sul"|"SP"|"NULL"|"17015.5946255"
"38"|"3158102"|"3103"|"JEQUITINHONHA"|"31014"|"ALMENARA"|"31"|"MINAS GERAIS"|"Santa Maria do Salto"|"MG"|"NULL"|"44511.8978642"
"39"|"2302305"|"2301"|"NOROESTE CEARENSE"|"23001"|"LITORAL DE CAMOCIM E ACARAU"|"23"|"CEARÁ"|"Bela Cruz"|"CE"|"NULL"|"84592.9554564"
"40"|"2907509"|"2905"|"METROPOLITANA DE SALVADOR"|"29019"|"CATU"|"29"|"BAHIA"|"Catu"|"BA"|"NULL"|"44619.1453562"
"41"|"1100072"|"1102"|"LESTE RONDONIENSE"|"11008"|"COLORADO DO OESTE"|"11"|"RONDÔNIA"|"Corumbiara"|"RO"|"NULL"|"330009.490761"
"42"|"4309951"|"4301"|"NOROESTE RIO-GRANDENSE"|"43013"|"SOLEDADE"|"43"|"RIO GRANDE DO SUL"|"Ibirapuitã"|"RS"|"NULL"|"31083.5082989"
"43"|"3551405"|"3502"|"RIBEIRAO PRETO"|"35014"|"RIBEIRAO PRETO"|"35"|"SÃO PAULO"|"Serra Azul"|"SP"|"NULL"|"28296.2615052"
"44"|"3158201"|"3108"|"VALE DO RIO DOCE"|"31036"|"PECANHA"|"31"|"MINAS GERAIS"|"Santa Maria do Suaçuí"|"MG"|"NULL"|"62324.5678583"
"45"|"2907558"|"2906"|"CENTRO SUL BAIANO"|"29022"|"BOQUIRA"|"29"|"BAHIA"|"Caturama"|"BA"|"NULL"|"64558.130907"
